Role,Job Title,Employer,Salary,Region,Timestamp,Visa,Essential_Criteria,Desirable_Criteria,Link
ST_Senior,ST8 in Geriatric Medicine (Ref: NHS-001-00010),Betsi Cadwaladr University Health Board (Wales),"£32,397 to £37,303 (FY/CT level)",Wales,2026-06-08 13:44:09,Tier 2 Sponsorship Available,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/95939107/
SAS,Specialty Doctor in Paediatrics (Ref: NHS-001-00011),Southern Health & Social Care Trust (Northern Ireland),"£88,364 to £119,133 (Consultant level)",Northern Ireland,2026-06-08 13:44:09,Limited Sponsorship - Apply Early,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/40400570/
Specialist,Specialist Grade in Ophthalmology (Ref: NHS-001-00012),Newcastle upon Tyne Hospitals FT (England),"£88,364 to £119,133 (Consultant level)",England,2026-06-08 13:44:09,Visa Not Required (UK/EU),"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/35789220/
GP,GP with Special Interest (Ref: NHS-001-00013),NHS Shetland (Scotland),"£88,364 to £119,133 (Consultant level)",Scotland,2026-06-08 13:44:09,Limited Sponsorship - Apply Early,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/90355256/
Dental,Dental Core Trainee DCT2 (Ref: NHS-001-00014),Powys Teaching Health Board (Wales),"£52,530 to £78,274 (SAS/Specialist level)",Wales,2026-06-08 13:44:09,Visa Not Required (UK/EU),"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/95735050/
JCF,Junior Clinical Fellow in Emergency Medicine (Ref: NHS-002-00015),Business Services Organisation NI (Northern Ireland),"£55,329 to £71,589 (ST4-ST8 level)",Northern Ireland,2026-06-08 14:04:09,Certificate of Sponsorship Provided,"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/17309269/
SCF,Senior Clinical Fellow in Trauma & Orthopaedics (Ref: NHS-002-00016),Royal Brompton & Harefield NHS FT (England),"£52,530 to £78,274 (SAS/Specialist level)",England,2026-06-08 14:04:09,Skilled Worker Visa Supported,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/17872623/
Teaching,Simulation Teaching Fellow (Ref: NHS-002-00017),NHS Tayside (Scotland),"£45,000 to £65,000 (GP Salaried)",Scotland,2026-06-08 14:04:09,Certificate of Sponsorship Provided,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/14787618/
TrustGrade,Senior Trust Grade Doctor (Ref: NHS-002-00018),Betsi Cadwaladr University Health Board (Wales),"£65,000 to £85,000 (GP Partner)",Wales,2026-06-08 14:04:09,Skilled Worker Visa Supported,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/69272771/
LAS,LAS ST1 in Medicine (Ref: NHS-002-00019),Southern Health & Social Care Trust (Northern Ireland),"£65,000 to £85,000 (GP Partner)",Northern Ireland,2026-06-08 14:04:09,Visa Not Required (UK/EU),"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/21113447/
Locum,Locum GP Sessional (Ref: NHS-002-00020),Pennine Acute Hospitals NHS Trust (England),"£43,923 to £55,329 (ST1-ST3 level)",England,2026-06-08 14:04:09,Skilled Worker Visa Supported,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/48977009/
FY1,FY1 in Psychiatry (Ref: NHS-002-00021),NHS Ayrshire & Arran (Scotland),"£82,000 to £110,000 (Dental Consultant)",Scotland,2026-06-08 14:04:09,Skilled Worker Visa Supported,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/56865274/
FY2,FY2 in Obstetrics & Gynaecology (Ref: NHS-002-00022),Powys Teaching Health Board (Wales),"£82,000 to £110,000 (Dental Consultant)",Wales,2026-06-08 14:04:09,Tier 2 Sponsorship Available,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/99696079/
CT,Core Trainee CT2 in Surgery (Ref: NHS-002-00023),Business Services Organisation NI (Northern Ireland),"£65,000 to £85,000 (GP Partner)",Northern Ireland,2026-06-08 13:44:09,Certificate of Sponsorship Provided,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/69730044/
ST_Junior,ST2 in Orthopaedic Surgery (Ref: NHS-002-00024),Lancashire Teaching Hospitals NHS FT (England),"£55,329 to £71,589 (ST4-ST8 level)",England,2026-06-08 14:04:09,Limited Sponsorship - Apply Early,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/69158209/
ST_Senior,ST4 in Gastroenterology (Ref: NHS-002-00025),NHS Western Isles (Scotland),"£35,000 to £55,000 (Dental Trainee)",Scotland,2026-06-08 13:44:09,Skilled Worker Visa Supported,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/46613662/
SAS,Specialty Doctor in Emergency Medicine (Ref: NHS-002-00026),Betsi Cadwaladr University Health Board (Wales),"£82,000 to £110,000 (Dental Consultant)",Wales,2026-06-08 13:44:09,Certificate of Sponsorship Provided,"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/42619769/
Specialist,Specialist Grade in Geriatrics (Ref: NHS-002-00027),Southern Health & Social Care Trust (Northern Ireland),"£65,000 to £85,000 (GP Partner)",Northern Ireland,2026-06-08 14:04:09,Limited Sponsorship - Apply Early,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/71342711/
GP,Locum Salaried GP (Ref: NHS-002-00028),Aintree University Hospital NHS FT (England),"£43,923 to £55,329 (ST1-ST3 level)",England,2026-06-08 14:04:09,Tier 2 Sponsorship Available,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/18968054/
Dental,Specialty Dentist in Orthodontics (Ref: NHS-002-00029),NHS Lothian (Scotland),"£32,397 to £37,303 (FY/CT level)",Scotland,2026-06-08 14:04:09,Visa Not Required (UK/EU),"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/49357563/
JCF,Junior Clinical Fellow in General Medicine (Ref: NHS-003-00030),Powys Teaching Health Board (Wales),"£45,000 to £65,000 (GP Salaried)",Wales,2026-06-08 12:14:09,Certificate of Sponsorship Provided,"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/43678265/
SCF,Senior Clinical Fellow in Cardiology (Ref: NHS-003-00031),Business Services Organisation NI (Northern Ireland),"£88,364 to £119,133 (Consultant level)",Northern Ireland,2026-06-08 13:44:09,Limited Sponsorship - Apply Early,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/77629228/
Teaching,Teaching Fellow in Clinical Skills (Ref: NHS-003-00032),Alder Hey Children's NHS FT (England),"£32,397 to £37,303 (FY/CT level)",England,2026-06-08 13:44:09,Limited Sponsorship - Apply Early,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/42975970/
TrustGrade,Trust Grade Doctor in A&E (Ref: NHS-003-00033),NHS Fife (Scotland),"£52,530 to £78,274 (SAS/Specialist level)",Scotland,2026-06-08 13:44:09,Tier 2 Sponsorship Available,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/72971461/
LAS,LAS ST2 in Orthopaedics (Ref: NHS-003-00034),Betsi Cadwaladr University Health Board (Wales),"£35,000 to £55,000 (Dental Trainee)",Wales,2026-06-08 09:14:09,Limited Sponsorship - Apply Early,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/96289512/
Locum,Locum Consultant in Emergency Medicine (Ref: NHS-003-00035),Southern Health & Social Care Trust (Northern Ireland),"£82,000 to £110,000 (Dental Consultant)",Northern Ireland,2026-06-08 09:14:09,Certificate of Sponsorship Provided,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/52360022/
FY1,Foundation Year 1 Doctor - Rotational (Ref: NHS-003-00036),Manchester University NHS FT - Wythenshawe (England),"£52,530 to £78,274 (SAS/Specialist level)",England,2026-06-08 13:44:09,Certificate of Sponsorship Provided,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/58596632/
FY2,Foundation Year 2 Doctor - Rotational (Ref: NHS-003-00037),NHS Borders (Scotland),"£65,000 to £85,000 (GP Partner)",Scotland,2026-06-08 12:14:09,Skilled Worker Visa Supported,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/22699502/
CT,Core Trainee CT2 in Pathology (Ref: NHS-003-00038),Powys Teaching Health Board (Wales),"£43,923 to £55,329 (ST1-ST3 level)",Wales,2026-06-08 13:44:09,Visa Not Required (UK/EU),"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/64444896/
ST_Junior,ST1 in Cardiothoracic Surgery (Ref: NHS-003-00039),Business Services Organisation NI (Northern Ireland),"£32,397 to £37,303 (FY/CT level)",Northern Ireland,2026-06-08 12:14:09,Certificate of Sponsorship Provided,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/40183490/
ST_Senior,ST4 in Gastroenterology (Ref: NHS-003-00040),Tameside & Glossop Integrated Care NHS FT (England),"£65,000 to £85,000 (GP Partner)",England,2026-06-08 13:44:09,Visa Not Required (UK/EU),"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/69094757/
SAS,Specialty Doctor in Radiology (Ref: NHS-003-00041),NHS Shetland (Scotland),"£52,530 to £78,274 (SAS/Specialist level)",Scotland,2026-06-08 12:14:09,Limited Sponsorship - Apply Early,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/87661358/
Specialist,Specialist Grade in Geriatrics (Ref: NHS-003-00042),Betsi Cadwaladr University Health Board (Wales),"£35,000 to £55,000 (Dental Trainee)",Wales,2026-06-08 12:14:09,Limited Sponsorship - Apply Early,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/56318102/
GP,Salaried GP Partner (Ref: NHS-003-00043),Southern Health & Social Care Trust (Northern Ireland),"£55,329 to £71,589 (ST4-ST8 level)",Northern Ireland,2026-06-08 13:44:09,Skilled Worker Visa Supported,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/59147273/
Dental,Dental Foundation Trainee (Ref: NHS-003-00044),Pennine Care NHS FT (England),"£45,000 to £65,000 (GP Salaried)",England,2026-06-08 12:14:09,Skilled Worker Visa Supported,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/94793039/
JCF,Junior Clinical Fellow in Paediatrics (Ref: NHS-004-00045),NHS Tayside (Scotland),"£45,000 to £65,000 (GP Salaried)",Scotland,2026-06-08 12:14:09,Visa Not Required (UK/EU),"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/97974698/
SCF,Senior Clinical Fellow in Gastroenterology (Ref: NHS-004-00046),Powys Teaching Health Board (Wales),"£65,000 to £85,000 (GP Partner)",Wales,2026-06-08 09:14:09,Certificate of Sponsorship Provided,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/10492831/
Teaching,Teaching Fellow in Clinical Skills (Ref: NHS-004-00047),Business Services Organisation NI (Northern Ireland),"£82,000 to £110,000 (Dental Consultant)",Northern Ireland,2026-06-08 12:14:09,Visa Not Required (UK/EU),"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/84761820/
TrustGrade,Trust Grade Doctor in Medicine (Ref: NHS-004-00048),Mersey Care NHS FT (England),"£65,000 to £85,000 (GP Partner)",England,2026-06-08 12:14:09,Certificate of Sponsorship Provided,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/16777703/
LAS,LAS ST1 in General Surgery (Ref: NHS-004-00049),NHS Ayrshire & Arran (Scotland),"£43,923 to £55,329 (ST1-ST3 level)",Scotland,2026-06-08 12:14:09,Visa Not Required (UK/EU),"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/58179861/
Locum,Locum SHO in General Medicine (Ref: NHS-004-00050),Betsi Cadwaladr University Health Board (Wales),"£35,000 to £55,000 (Dental Trainee)",Wales,2026-06-08 12:14:09,Certificate of Sponsorship Provided,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/23412596/
FY1,FY1 in Surgery (Ref: NHS-004-00051),Southern Health & Social Care Trust (Northern Ireland),"£65,000 to £85,000 (GP Partner)",Northern Ireland,2026-06-08 12:14:09,Visa Not Required (UK/EU),"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/15588726/
FY2,FY2 in Obstetrics & Gynaecology (Ref: NHS-004-00052),Imperial College Healthcare NHS Trust (England),"£55,329 to £71,589 (ST4-ST8 level)",England,2026-06-08 13:44:09,Certificate of Sponsorship Provided,"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/16779832/
CT,Core Trainee CT2 in Surgery (Ref: NHS-004-00053),NHS Western Isles (Scotland),"£32,397 to £37,303 (FY/CT level)",Scotland,2026-06-08 13:44:09,Tier 2 Sponsorship Available,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/43558241/
ST_Junior,ST2 in Orthopaedic Surgery (Ref: NHS-004-00054),Powys Teaching Health Board (Wales),"£82,000 to £110,000 (Dental Consultant)",Wales,2026-06-08 13:44:09,Skilled Worker Visa Supported,"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/87503080/
ST_Senior,ST8 in Geriatric Medicine (Ref: NHS-004-00055),Business Services Organisation NI (Northern Ireland),"£82,000 to £110,000 (Dental Consultant)",Northern Ireland,2026-06-08 12:14:09,Limited Sponsorship - Apply Early,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/99957003/
SAS,Specialty Doctor in Emergency Medicine (Ref: NHS-004-00056),Chelsea & Westminster NHS FT (England),"£55,329 to £71,589 (ST4-ST8 level)",England,2026-06-08 12:14:09,Skilled Worker Visa Supported,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/84296869/
Specialist,Specialist Grade in Geriatrics (Ref: NHS-004-00057),NHS Lothian (Scotland),"£65,000 to £85,000 (GP Partner)",Scotland,2026-06-08 12:14:09,Limited Sponsorship - Apply Early,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/39733742/
